paymentType,userId,businessId,reservableItemId,reservableTimeId,requestQuantity
WALLET,671046,79342,2380238,7140714,2
WALLET,724632,94007,2820186,8460557,2
WALLET,954491,30674,920208,2760622,2
WALLET,368329,26926,807776,2423328,2
WALLET,958446,12442,373239,1119716,2
WALLET,918538,27843,835277,2505831,2
WALLET,857876,10956,328660,985979,2
WALLET,583767,647,19386,58156,2
WALLET,244487,2922,87642,262924,2
WALLET,428925,84138,2524139,7572417,2
WALLET,879143,53579,1607357,4822070,2
WALLET,712351,99193,2975789,8927367,2
WALLET,763123,6904,207111,621333,2
WALLET,330503,28163,844872,2534616,2
WALLET,844871,48146,1444358,4333072,2
WALLET,413261,57351,1720503,5161509,2
WALLET,20954,38335,1150046,3450138,2
WALLET,724724,25984,779505,2338515,2
WALLET,720394,61570,1847079,5541237,2
WALLET,557855,92528,2775823,8327469,2
WALLET,920902,61396,1841866,5525598,2
WALLET,675734,46452,1393536,4180607,2
WALLET,162618,32737,982103,2946308,2
WALLET,773832,40001,1200020,3600059,2
WALLET,815179,83604,2508113,7524337,2
WALLET,508943,20169,605064,1815191,2
WALLET,884519,16337,490104,1470312,2
WALLET,760240,79421,2382628,7147882,2
WALLET,315540,67099,2012953,6038858,2
WALLET,160640,31907,957200,2871598,2
WALLET,945550,34881,1046403,3139208,2
WALLET,760514,61839,1855157,5565469,2
WALLET,865114,55888,1676631,5029891,2
WALLET,822660,92512,2775346,8326038,2
WALLET,408241,94150,2824478,8473433,2
WALLET,212730,88995,2669848,8009544,2
WALLET,897672,63571,1907108,5721324,2
WALLET,308640,40961,1228828,3686484,2
WALLET,689209,78704,2361097,7083289,2
WALLET,132384,30125,903745,2711233,2
WALLET,467198,25014,750411,2251231,2
WALLET,174431,93631,2808923,8426767,2
WALLET,135937,56301,1689027,5067081,2
WALLET,31684,78960,2368771,7106313,2
WALLET,884437,14649,439464,1318391,2
WALLET,552151,7584,227519,682557,2
WALLET,190741,56884,1706514,5119541,2
WALLET,712220,86795,2603838,7811512,2
WALLET,717891,61295,1838827,5516480,2
WALLET,841336,58813,1764390,5293168,2
WALLET,470600,29523,885677,2657031,2
WALLET,336101,47990,1439672,4319015,2
WALLET,737901,79559,2386743,7160229,2
WALLET,453402,89369,2681055,8043165,2
WALLET,379595,56596,1697862,5093586,2
WALLET,107150,37794,1133791,3401372,2
WALLET,543534,64679,1940352,5821055,2
WALLET,800507,9745,292322,876964,2
WALLET,740138,37097,1112904,3338710,2
WALLET,168746,63471,1904129,5712387,2
WALLET,797086,52337,1570108,4710323,2
WALLET,309601,29051,871502,2614506,2
WALLET,514422,93012,2790349,8371047,2
WALLET,474071,38612,1158349,3475046,2
WALLET,406601,91443,2743275,8229823,2
WALLET,507370,83756,2512676,7538026,2
WALLET,810011,57597,1727892,5183675,2
WALLET,984262,21983,659477,1978430,2
WALLET,672443,13272,398152,1194455,2
WALLET,996792,14668,440036,1320106,2
WALLET,896543,47182,1415435,4246303,2
WALLET,736646,94480,2834394,8503181,2
WALLET,816242,59348,1780413,5341239,2
WALLET,515535,8874,266220,798660,2
WALLET,24652,20569,617056,1851166,2
WALLET,877882,72819,2184552,6553654,2
WALLET,418985,23219,696550,2089650,2
WALLET,993668,96633,2898988,8696964,2
WALLET,665086,67602,2028051,6084153,2
WALLET,268677,17657,529706,1589117,2
WALLET,557254,25527,765806,2297417,2
WALLET,46366,53412,1602342,4807024,2
WALLET,577303,16052,481551,1444653,2
WALLET,640128,56303,1689087,5067261,2
WALLET,464575,4591,137712,413136,2
WALLET,777929,96392,2891743,8675228,2
WALLET,109628,57530,1725876,5177628,2
WALLET,525820,3707,111192,333574,2
WALLET,889110,58288,1748634,5245901,2
WALLET,63132,56066,1681976,5045926,2
WALLET,984760,59858,1795740,5387219,2
WALLET,802187,23158,694727,2084180,2
WALLET,291975,73390,2201692,6605075,2
WALLET,114107,54929,1647848,4943543,2
WALLET,982345,67284,2018502,6055506,2
WALLET,457809,30045,901343,2704027,2
WALLET,694916,19298,578935,1736804,2
WALLET,645826,5142,154242,462726,2
WALLET,641746,7442,223258,669772,2
WALLET,247108,86246,2587370,7762108,2
WALLET,99609,33003,990074,2970222,2
WALLET,916508,71975,2159233,6477697,2
WALLET,633088,77188,2315639,6946917,2
WALLET,210318,92425,2772745,8318235,2
WALLET,964507,53076,1592277,4776829,2
WALLET,431992,38257,1147710,3443129,2
WALLET,990360,26618,798516,2395547,2
WALLET,719431,29064,871905,2615714,2
WALLET,179386,45128,1353836,4061508,2
WALLET,618750,96816,2904480,8713439,2
WALLET,85384,67808,2034237,6102710,2
WALLET,668001,14547,436392,1309174,2
WALLET,795110,5406,162178,486534,2
WALLET,567296,90052,2701542,8104624,2
WALLET,573278,57249,1717466,5152398,2
WALLET,348299,17790,533675,1601025,2
WALLET,780073,96345,2890325,8670973,2
WALLET,288959,36096,1082854,3248560,2
WALLET,489114,50297,1508908,4526724,2
WALLET,648306,99059,2971752,8915255,2
WALLET,325331,91900,2756986,8270957,2
WALLET,658458,27552,826556,2479666,2
WALLET,333592,96603,2898080,8694240,2
WALLET,365567,54655,1639643,4918929,2
WALLET,208004,8521,255603,766807,2
WALLET,67407,13565,406937,1220811,2
WALLET,550007,89227,2676792,8030374,2
WALLET,57237,52578,1577318,4731954,2
WALLET,162220,20285,608549,1825647,2
WALLET,318282,37336,1120058,3360173,2
WALLET,559567,85132,2553944,7661830,2
WALLET,374491,46998,1409913,4229739,2
WALLET,875338,77252,2317534,6952600,2
WALLET,7647,42261,1267819,3803456,2
WALLET,182409,55812,1674352,5023055,2
WALLET,525947,17495,524833,1574499,2
WALLET,286235,74075,2222234,6666700,2
WALLET,954701,47051,1411521,4234561,2
WALLET,572721,24359,730749,2192245,2
WALLET,338819,82671,2480121,7440363,2
WALLET,492838,93073,2792186,8376558,2
WALLET,385486,87176,2615261,7845782,2
WALLET,577162,5534,165995,497983,2
WALLET,338345,60516,1815470,5446409,2
WALLET,825257,46446,1393369,4180107,2
WALLET,615895,37402,1122060,3366180,2
WALLET,494734,44431,1332901,3998703,2
WALLET,613527,42287,1268587,3805759,2
WALLET,48252,83568,2507039,7521115,2
WALLET,127990,47582,1427431,4282291,2
WALLET,130602,10506,315165,945495,2
WALLET,62395,7794,233796,701386,2
WALLET,548419,89769,2693057,8079169,2
WALLET,271878,12126,363751,1091251,2
WALLET,324540,75492,2264760,6794279,2
WALLET,295278,65782,1973443,5920327,2
WALLET,61232,48154,1444603,4333808,2
WALLET,239049,30995,929824,2789470,2
WALLET,514625,52473,1574172,4722515,2
WALLET,805215,1743,52266,156797,2
WALLET,381133,96169,2885048,8655142,2
WALLET,952952,84078,2522334,7567000,2
WALLET,937834,42932,1287955,3863865,2
WALLET,24519,61206,1836170,5508509,2
WALLET,79772,62869,1886058,5658173,2
WALLET,646333,37015,1110438,3331313,2
WALLET,410633,96145,2884341,8653021,2
WALLET,5846,91799,2753952,8261856,2
WALLET,52617,13854,415606,1246818,2
WALLET,288026,60370,1811098,5433293,2
WALLET,645427,92866,2785976,8357926,2
WALLET,15686,67934,2038017,6114049,2
WALLET,562975,59101,1773030,5319090,2
WALLET,315112,3870,116097,348289,2
WALLET,766266,40447,1213410,3640228,2
WALLET,530526,65226,1956753,5870257,2
WALLET,668975,39581,1187424,3562270,2
WALLET,209561,53603,1608081,4824242,2
WALLET,243924,6665,199933,599799,2
WALLET,62264,74119,2223546,6670637,2
WALLET,224991,12570,377093,1131279,2
WALLET,118149,84668,2540019,7620055,2
WALLET,758299,47676,1430273,4290817,2
WALLET,521547,46625,1398749,4196247,2
WALLET,974102,33531,1005904,3017711,2
WALLET,922734,81196,2435851,7307552,2
WALLET,629453,7328,219822,659464,2
WALLET,952893,87052,2611551,7834653,2
WALLET,392,18187,545604,1636811,2
WALLET,202202,7507,225197,675590,2
WALLET,136245,20461,613801,1841402,2
WALLET,564236,44798,1343921,4031763,2
WALLET,811440,82971,2489120,7467358,2
WALLET,711816,62191,1865710,5597129,2
WALLET,953931,65462,1963846,5891536,2
WALLET,171774,4699,140947,422840,2
WALLET,823480,31653,949564,2848692,2
WALLET,68451,14272,428149,1284445,2
WALLET,659773,29980,899373,2698118,2
WALLET,529341,7028,210839,632516,2
WALLET,83178,7122,213638,640913,2
WALLET,402007,53987,1619590,4858768,2
WALLET,360861,25585,767528,2302584,2
WALLET,705564,82756,2482653,7447959,2
WALLET,212001,2105,63150,189449,2
WALLET,298679,5192,155744,467230,2
WALLET,846260,49927,1497802,4493406,2
WALLET,168947,72035,2161036,6483108,2
WALLET,719570,54334,1629995,4889983,2
