paymentType,userId,businessId,reservableItemId,reservableTimeId,requestQuantity
WALLET,496037,48513,1455388,4366163,2
WALLET,455347,37370,1121073,3363217,2
WALLET,24106,69201,2076012,6228036,2
WALLET,156825,7035,211036,633108,2
WALLET,932189,77157,2314691,6944073,2
WALLET,480478,46369,1391054,4173161,2
WALLET,396770,36942,1108251,3324752,2
WALLET,812664,32751,982512,2947535,2
WALLET,376944,24178,725319,2175957,2
WALLET,909581,59496,1784864,5354590,2
WALLET,107435,33262,997832,2993496,2
WALLET,509844,95183,2855461,8566382,2
WALLET,159267,98331,2949921,8849762,2
WALLET,660835,80301,2409003,7227008,2
WALLET,834092,44697,1340901,4022703,2
WALLET,65143,43139,1294147,3882440,2
WALLET,833131,98030,2940886,8822658,2
WALLET,839565,96812,2904334,8713002,2
WALLET,97301,99461,2983823,8951467,2
WALLET,550012,78306,2349170,7047508,2
WALLET,847333,26568,797036,2391107,2
WALLET,327602,27403,822066,2466196,2
WALLET,77637,50497,1514881,4544641,2
WALLET,58887,14615,438430,1315290,2
WALLET,98974,23236,697052,2091154,2
WALLET,356988,98798,2963934,8891802,2
WALLET,87886,14401,432004,1296012,2
WALLET,340229,9014,270402,811205,2
WALLET,61972,73075,2192236,6576707,2
WALLET,911251,30219,906550,2719650,2
WALLET,63123,42869,1286065,3858193,2
WALLET,659417,24107,723182,2169545,2
WALLET,786607,3379,101357,304069,2
WALLET,783039,72476,2174280,6522840,2
WALLET,472931,56508,1695222,5085665,2
WALLET,932836,49164,1474908,4424722,2
WALLET,867324,30651,919528,2758584,2
WALLET,444926,40914,1227401,3682201,2
WALLET,484894,9284,278505,835515,2
WALLET,530527,67007,2010196,6030588,2
WALLET,837434,27704,831106,2493318,2
WALLET,500718,3745,112336,337008,2
WALLET,88401,25347,760392,2281175,2
WALLET,840367,76332,2289943,6869827,2
WALLET,964473,8622,258659,775976,2
WALLET,278604,41686,1250556,3751667,2
WALLET,49277,12422,372634,1117900,2
WALLET,249459,23468,704039,2112117,2
WALLET,603753,85897,2576890,7730669,2
WALLET,204120,28326,849752,2549255,2
WALLET,802523,70488,2114621,6343861,2
WALLET,374625,84872,2546158,7638473,2
WALLET,726591,69565,2086941,6260821,2
WALLET,598298,35373,1061187,3183561,2
WALLET,398455,26163,784870,2354610,2
WALLET,495847,33311,999303,2997907,2
WALLET,662079,16965,508922,1526764,2
WALLET,531781,80317,2409505,7228513,2
WALLET,155731,12231,366923,1100768,2
WALLET,481719,36616,1098469,3295407,2
WALLET,330513,4150,124473,373419,2
WALLET,213318,79720,2391582,7174746,2
WALLET,867537,56458,1693721,5081161,2
WALLET,161209,72609,2178263,6534789,2
WALLET,635442,1866,55969,167907,2
WALLET,4527,97708,2931233,8793697,2
WALLET,360100,25518,765540,2296619,2
WALLET,43049,52936,1588053,4764158,2
WALLET,431045,69623,2088673,6266018,2
WALLET,409409,20459,613767,1841301,2
WALLET,872504,58660,1759780,5279339,2
WALLET,145010,14038,421123,1263369,2
WALLET,960810,72005,2160150,6480450,2
WALLET,476366,36958,1108739,3326217,2
WALLET,969879,54126,1623758,4871274,2
WALLET,742728,67203,2016089,6048265,2
WALLET,632487,771,23125,69373,2
WALLET,139016,90167,2705004,8115010,2
WALLET,998236,78386,2351558,7054673,2
WALLET,743365,70031,2100925,6302775,2
WALLET,326345,66310,1989299,5967895,2
WALLET,190085,31517,945496,2836487,2
WALLET,874310,22559,676744,2030230,2
WALLET,9412,96418,2892520,8677560,2
WALLET,582158,27878,836319,2508956,2
WALLET,529903,31229,936867,2810599,2
WALLET,747510,25249,757449,2272346,2
WALLET,879873,55476,1664271,4992812,2
WALLET,559377,55209,1656260,4968780,2
WALLET,315409,26335,790047,2370140,2
WALLET,716747,89006,2670160,8010478,2
WALLET,798959,81828,2454824,7364470,2
WALLET,965961,97075,2912241,8736722,2
WALLET,444730,56976,1709273,5127818,2
WALLET,814082,72074,2162195,6486585,2
